Estado civil;Faixa etária;Grau de instrução;Município;Quantidade de eleitores
CASADO;100 anos ou mais;ANALFABETO;ALAGOA GRANDE;1
CASADO;100 anos ou mais;ANALFABETO;ALAGOA NOVA;1
CASADO;100 anos ou mais;ANALFABETO;ALAGOINHA;1
CASADO;100 anos ou mais;ANALFABETO;ALCANTIL;2
CASADO;100 anos ou mais;ANALFABETO;APARECIDA;1
CASADO;100 anos ou mais;ANALFABETO;ARARA;2
CASADO;100 anos ou mais;ANALFABETO;ARAÇAGI;2
CASADO;100 anos ou mais;ANALFABETO;AREIA;1
CASADO;100 anos ou mais;ANALFABETO;BELÉM;1
CASADO;100 anos ou mais;ANALFABETO;BOM JESUS;1
CASADO;100 anos ou mais;ANALFABETO;BONITO DE SANTA FÉ;4
CASADO;100 anos ou mais;ANALFABETO;BOQUEIRÃO;2
CASADO;100 anos ou mais;ANALFABETO;BREJO DOS SANTOS;1
CASADO;100 anos ou mais;ANALFABETO;CACIMBA DE DENTRO;1
CASADO;100 anos ou mais;ANALFABETO;CAJAZEIRAS;1
CASADO;100 anos ou mais;ANALFABETO;CONGO;1
CASADO;100 anos ou mais;ANALFABETO;COREMAS;1
CASADO;100 anos ou mais;ANALFABETO;COXIXOLA;1
CASADO;100 anos ou mais;ANALFABETO;CUITEGI;1
CASADO;100 anos ou mais;ANALFABETO;DIAMANTE;1
CASADO;100 anos ou mais;ANALFABETO;GUARABIRA;3
CASADO;100 anos ou mais;ANALFABETO;ITAPOROROCA;1
CASADO;100 anos ou mais;ANALFABETO;LAGOA SECA;3
CASADO;100 anos ou mais;ANALFABETO;MANAÍRA;1
CASADO;100 anos ou mais;ANALFABETO;MASSARANDUBA;1
CASADO;100 anos ou mais;ANALFABETO;MATINHAS;1
CASADO;100 anos ou mais;ANALFABETO;MATO GROSSO;1
CASADO;100 anos ou mais;ANALFABETO;NATUBA;1
CASADO;100 anos ou mais;ANALFABETO;PIANCÓ;3
CASADO;100 anos ou mais;ANALFABETO;PILAR;1
CASADO;100 anos ou mais;ANALFABETO;PILÕES;1
CASADO;100 anos ou mais;ANALFABETO;PILÕEZINHOS;1
CASADO;100 anos ou mais;ANALFABETO;POCINHOS;1
CASADO;100 anos ou mais;ANALFABETO;PUXINANÃ;1
CASADO;100 anos ou mais;ANALFABETO;QUEIMADAS;5
CASADO;100 anos ou mais;ANALFABETO;REMÍGIO;2
